	NOK_per_kWh	time_start	location_code	location	day_of_the_week	week_number
0	1.29885	2022-11-28 00:00:00+01:00	NO1	Oslo	28	48
1	1.30183	2022-11-28 01:00:00+01:00	NO1	Oslo	28	48
2	1.27434	2022-11-28 02:00:00+01:00	NO1	Oslo	28	48
3	1.23149	2022-11-28 03:00:00+01:00	NO1	Oslo	28	48
4	1.19823	2022-11-28 04:00:00+01:00	NO1	Oslo	28	48
5	1.23664	2022-11-28 05:00:00+01:00	NO1	Oslo	28	48
6	1.51409	2022-11-28 06:00:00+01:00	NO1	Oslo	28	48
7	1.87433	2022-11-28 07:00:00+01:00	NO1	Oslo	28	48
8	2.10172	2022-11-28 08:00:00+01:00	NO1	Oslo	28	48
9	2.12963	2022-11-28 09:00:00+01:00	NO1	Oslo	28	48
10	2.34765	2022-11-28 10:00:00+01:00	NO1	Oslo	28	48
11	2.40151	2022-11-28 11:00:00+01:00	NO1	Oslo	28	48
12	2.39306	2022-11-28 12:00:00+01:00	NO1	Oslo	28	48
13	2.39275	2022-11-28 13:00:00+01:00	NO1	Oslo	28	48
14	2.39244	2022-11-28 14:00:00+01:00	NO1	Oslo	28	48
15	2.39852	2022-11-28 15:00:00+01:00	NO1	Oslo	28	48
16	2.45465	2022-11-28 16:00:00+01:00	NO1	Oslo	28	48
17	2.49975	2022-11-28 17:00:00+01:00	NO1	Oslo	28	48
18	2.4115	2022-11-28 18:00:00+01:00	NO1	Oslo	28	48
19	2.2633	2022-11-28 19:00:00+01:00	NO1	Oslo	28	48
20	2.08339	2022-11-28 20:00:00+01:00	NO1	Oslo	28	48
21	1.95805	2022-11-28 21:00:00+01:00	NO1	Oslo	28	48
22	1.82932	2022-11-28 22:00:00+01:00	NO1	Oslo	28	48
23	1.73159	2022-11-28 23:00:00+01:00	NO1	Oslo	28	48
0	1.45631	2022-11-27 00:00:00+01:00	NO1	Oslo	27	47
1	1.36352	2022-11-27 01:00:00+01:00	NO1	Oslo	27	47
2	1.25652	2022-11-27 02:00:00+01:00	NO1	Oslo	27	47
3	1.02367	2022-11-27 03:00:00+01:00	NO1	Oslo	27	47
4	1.02367	2022-11-27 04:00:00+01:00	NO1	Oslo	27	47
5	1.08793	2022-11-27 05:00:00+01:00	NO1	Oslo	27	47
6	1.28731	2022-11-27 06:00:00+01:00	NO1	Oslo	27	47
7	1.36476	2022-11-27 07:00:00+01:00	NO1	Oslo	27	47
8	1.39524	2022-11-27 08:00:00+01:00	NO1	Oslo	27	47
9	1.51398	2022-11-27 09:00:00+01:00	NO1	Oslo	27	47
10	1.54292	2022-11-27 10:00:00+01:00	NO1	Oslo	27	47
11	1.64292	2022-11-27 11:00:00+01:00	NO1	Oslo	27	47
12	1.6044	2022-11-27 12:00:00+01:00	NO1	Oslo	27	47
